Label,X_m,Y_m,X_km,Y_km,Dist_km
A,1455292.62,-1939295.40,1455.2926,-1939.2954,0.0000
B,1444788.14,-1948844.92,1444.7881,-1948.8449,14.3209
C,1436766.55,-1958203.45,1436.7665,-1958.2035,26.6339
D,1433328.72,-1968707.92,1433.3287,-1968.7079,37.7507
E,1430654.85,-1985897.06,1430.6549,-1985.8971,55.1446
F,1431227.82,-2003086.20,1431.2278,-2003.0862,72.3490
G,1431609.80,-2020848.31,1431.6098,-2020.8483,90.0518
H,1432373.77,-2032307.73,1432.3738,-2032.3077,101.5904
I,1432564.76,-2049114.89,1432.5648,-2049.1149,118.4392
J,1432373.77,-2069932.84,1432.3738,-2069.9328,139.1037
K,1432373.77,-2075471.57,1432.3738,-2075.4716,144.5864
